Gender,Academic_Performance,Favorite_Subjects,Weak_Subjects,Skills,Interests,Personality_Type,Preferred_Career_Type,Hands_On_Learning,Long_Term_Education_Plan,Financial_Affordability,Scholarship_Eligibility,Technical_Aptitude,Analytical_Reasoning,Creativity_Level,Parent_Guidance,Peer_Influence,Distance_To_College,Availability_Of_Courses,Recommended_Path,Suitable_Careers,Suggested_Courses,Skills_To_Develop,Challenges_To_Overcome
Male,67.7,"English, Chemistry",Mathematics,"Coding, Creativity","Sports, Business",Introvert,Skill-Based,True,False,Medium,True,8.1,3.0,5.3,Vocational,PUC,14,False,Diploma,"Artist, Writer","Literature Studies, Diploma in Fine Arts","Coding, Creativity",Parental Pressure
Male,73.6,"Chemistry, History",Mathematics,"Critical Thinking, Coding","Reading, Technology",Extrovert,Academic,True,True,High,False,2.5,4.2,8.6,Neutral,PUC,16,True,PUC,"Accountant, Marketing Professional","CA Foundation, Bachelor of Commerce","Creativity, Time Management",Financial Constraint
Female,67.7,"Mathematics, History",Chemistry,"Public Speaking, Teamwork","Technology, Sports",Ambivert,Academic,True,True,Low,False,7.2,6.0,7.5,Neutral,Neutral,20,False,PUC,"Writer, Historian","Literature Studies, Diploma in Fine Arts","Creativity, Time Management",Lack of Focus
Male,72.3,"History, Biology",Mathematics,"Critical Thinking, Public Speaking","Music, Art",Extrovert,Academic,False,False,High,True,7.2,8.6,7.5,Academic,Diploma,36,True,Diploma,"Business Analyst, Marketing Professional","CA Foundation, Diploma in Finance","Technical Skills, Communication",Parental Pressure
Male,80.6,"History, Physics",Chemistry,"Creativity, Problem Solving","Music, Technology",Introvert,Skill-Based,False,False,High,False,5.4,3.8,7.9,Vocational,Diploma,19,True,Diploma,"Writer, Artist","Diploma in Fine Arts, Literature Studies","Technical Skills, Creativity",Financial Constraint
Female,62.2,"Geography, Economics",History,"Coding, Teamwork","Music, Reading",Extrovert,Neutral,False,True,High,False,9.4,8.2,1.2,Vocational,PUC,33,True,PUC,"Writer, Designer","Bachelor of Arts, Literature Studies","Coding, Creativity",Time Management
Male,75.5,"Chemistry, History",Mathematics,"Public Speaking, Teamwork","Reading, Sports",Ambivert,Neutral,True,True,Low,False,5.1,7.1,1.9,Vocational,Neutral,2,False,Diploma,"Writer, Designer","Bachelor of Arts, Diploma in Fine Arts","Technical Skills, Networking",Financial Constraint
Male,87.0,"Economics, History",Geography,"Coding, Critical Thinking","Music, Business",Extrovert,Neutral,False,False,Medium,True,9.5,3.5,1.5,Vocational,Diploma,40,False,PUC,"Writer, Designer","Bachelor of Arts, Literature Studies","Technical Skills, Communication",Parental Pressure
Female,86.5,"History, Economics",Chemistry,"Critical Thinking, Teamwork","Art, Technology",Extrovert,Skill-Based,False,True,Medium,True,3.0,8.3,1.6,Neutral,Diploma,3,True,Diploma,"Historian, Writer","Bachelor of Arts, Diploma in Fine Arts","Networking, Creativity",Parental Pressure
Female,70.9,"History, Geography",English,"Critical Thinking, Leadership","Sports, Reading",Introvert,Neutral,True,True,Medium,False,7.7,1.1,3.1,Neutral,PUC,19,False,Diploma,"Doctor, Data Analyst","Bachelor of Science, MBBS","Coding, Creativity",Parental Pressure
Male,83.5,"Chemistry, English",Physics,"Problem Solving, Teamwork","Writing, Art",Ambivert,Skill-Based,True,True,High,False,8.3,5.1,7.9,Vocational,Diploma,29,True,Diploma,"Marketing Professional, Economist","CA Foundation, Bachelor of Commerce","Coding, Communication",Time Management
Male,89.0,"English, Mathematics",Chemistry,"Teamwork, Creativity","Music, Technology",Extrovert,Academic,False,True,Low,False,2.4,3.0,7.2,Vocational,PUC,32,True,PUC,"Scientist, Data Analyst","MBBS, Diploma in Engineering","Creativity, Networking",Parental Pressure
Female,83.0,"Chemistry, Geography",Economics,"Leadership, Problem Solving","Business, Reading",Ambivert,Neutral,True,False,High,True,5.9,6.1,3.9,Vocational,Neutral,30,True,Diploma,"Scientist, Data Analyst","Bachelor of Science, MBBS","Technical Skills, Networking",Lack of Focus
Male,74.8,"Physics, English",Economics,"Public Speaking, Critical Thinking","Art, Technology",Ambivert,Academic,False,True,Medium,False,4.3,2.1,8.5,Neutral,Neutral,11,True,PUC,"Marketing Professional, Economist","Bachelor of Commerce, CA Foundation","Communication, Technical Skills",Lack of Focus
Female,87.9,"History, Mathematics",English,"Critical Thinking, Problem Solving","Sports, Music",Extrovert,Neutral,False,True,High,True,5.5,7.2,8.2,Vocational,PUC,35,False,PUC,"Scientist, Data Analyst","Diploma in Engineering, MBBS","Creativity, Coding",Lack of Focus
Male,83.5,"Chemistry, Geography",Physics,"Coding, Public Speaking","Business, Art",Extrovert,Neutral,True,True,High,True,4.0,9.3,8.7,Neutral,Diploma,1,True,Diploma,"Historian, Artist","Bachelor of Arts, Diploma in Fine Arts","Communication, Creativity",Financial Constraint
Male,88.7,"Mathematics, History",English,"Creativity, Public Speaking","Technology, Business",Extrovert,Skill-Based,False,False,Medium,False,4.6,4.3,6.0,Neutral,Neutral,41,True,Diploma,"Scientist, Engineer","MBBS, Bachelor of Science","Time Management, Coding",Time Management
Female,86.2,"Geography, Physics",Chemistry,"Teamwork, Problem Solving","Music, Technology",Introvert,Skill-Based,False,True,Medium,False,9.7,1.9,5.8,Academic,Neutral,8,False,Diploma,"Designer, Writer","Diploma in Fine Arts, Bachelor of Arts","Time Management, Creativity",Financial Constraint
Female,73.6,"Chemistry, Economics",Geography,"Coding, Problem Solving","Art, Technology",Extrovert,Neutral,True,True,Medium,True,5.8,9.7,7.8,Vocational,Diploma,10,True,Diploma,"Designer, Artist","Diploma in Fine Arts, Bachelor of Arts","Time Management, Technical Skills",Parental Pressure
Female,66.1,"Biology, History",Economics,"Leadership, Teamwork","Reading, Technology",Ambivert,Academic,True,True,Medium,False,3.8,1.4,1.1,Neutral,Diploma,11,True,PUC,"Scientist, Doctor","MBBS, Bachelor of Science","Technical Skills, Coding",Financial Constraint
Male,72.8,"English, Biology",Chemistry,"Leadership, Critical Thinking","Technology, Writing",Ambivert,Neutral,True,True,Medium,True,1.3,7.5,5.4,Academic,PUC,17,True,Diploma,"Doctor, Engineer","Diploma in Engineering, Bachelor of Science","Creativity, Time Management",Financial Constraint
Male,87.5,"English, Chemistry",Biology,"Public Speaking, Leadership","Writing, Sports",Ambivert,Academic,True,True,Low,False,2.6,3.1,8.0,Academic,PUC,3,True,PUC,"Data Analyst, Doctor","MBBS, Diploma in Engineering","Networking, Communication",Time Management
Male,87.8,"English, Economics",Biology,"Public Speaking, Coding","Reading, Technology",Extrovert,Academic,True,False,Low,False,3.1,7.1,4.8,Neutral,Diploma,49,True,Diploma,"Business Analyst, Marketing Professional","Diploma in Finance, CA Foundation","Communication, Technical Skills",Time Management
Male,62.6,"Biology, Economics",Physics,"Critical Thinking, Creativity","Art, Sports",Extrovert,Neutral,True,True,Low,True,7.6,8.6,7.7,Vocational,Neutral,2,True,Diploma,"Designer, Writer","Diploma in Fine Arts, Literature Studies","Time Management, Communication",Parental Pressure
Male,74.9,"English, History",Biology,"Creativity, Public Speaking","Art, Music",Extrovert,Skill-Based,False,True,Low,False,5.4,1.5,5.9,Academic,Diploma,35,True,Diploma,"Marketing Professional, Business Analyst","Diploma in Finance, CA Foundation","Communication, Networking",Parental Pressure
Male,78.6,"Mathematics, History",Physics,"Leadership, Critical Thinking","Business, Writing",Ambivert,Academic,True,False,Medium,False,1.2,5.7,7.2,Neutral,PUC,28,False,Diploma,"Marketing Professional, Business Analyst","CA Foundation, Bachelor of Commerce","Technical Skills, Coding",Parental Pressure
